img_src,price,displacement,seatheight,wet_weight,dry_weight,starter,category,engine_type,year,make,model
https://www.dirtrider.com/sites/dirtrider.com/files/styles/1000_1x_/public/buyers_guide/2004/2004_KTM_950Adventure_S.jpg?itok=itI_mH2p,12498,942,36,,437,Electric,Adventure,DOHC,2004,KTM,950 Adventure S
https://www.dirtrider.com/sites/dirtrider.com/files/styles/1000_1x_/public/buyers_guide/2004/2004_Kawasaki_KX_500.jpg?itok=o7FFkhDh,4999,499,37,234,,Kick,Motorcross,Two-stroke,2004,Kawasaki,Kx500
https://www.dirtrider.com/sites/dirtrider.com/files/styles/1000_1x_/public/buyers_guide/2004/2004_KTM_MXC_300.jpg?itok=0EJlqh_v,6198,293,36,,222,Kick,Off-Road,Two-stroke,2004,KTM,300 Mxc
https://www.dirtrider.com/sites/dirtrider.com/files/styles/1000_1x_/public/buyers_guide/2004/2004_KTM_MXC_450.jpg?itok=qijuHyeH,7048,448,36,,247,Electric / Kick,Off-Road,SOHC,2004,KTM,450 Mxc
https://www.dirtrider.com/sites/dirtrider.com/files/styles/1000_1x_/public/buyers_guide/2004/2004_Kawasaki_KDX_50.jpg?itok=YliSo2l7,1099,49,19,,84,Kick,Road,Two-stroke,2004,Kawasaki,Kdx50
https://www.dirtrider.com/sites/dirtrider.com/files/styles/1000_1x_/public/buyers_guide/2004/2004_KTM_MXC_525.jpg?itok=McZpG2N3,7248,510,36,,248,Electric / Kick,Off-Road,SOHC,2004,KTM,525 Mxc
https://www.dirtrider.com/sites/dirtrider.com/files/styles/1000_1x_/public/buyers_guide/2004/2004_Kawasaki_KDX_200.jpg?itok=fjFeyNwo,3999,198,36,243,,Kick,Road,Two-stroke,2004,Kawasaki,Kdx200
https://www.dirtrider.com/sites/dirtrider.com/files/styles/1000_1x_/public/buyers_guide/2004/2004_BMW_R1150GS_Base.jpg?itok=DxoXM-nJ,15070,1130,33,588,,Electric,Adventure,OHV,20041150,BMW,R 1150 Gs
https://www.dirtrider.com/sites/dirtrider.com/files/styles/1000_1x_/public/buyers_guide/2004/2004_Kawasaki_KDX_220R.jpg?itok=rCXEKVKI,4399,216,36,243,,Kick,Road,Two-stroke,2004,Kawasaki,Kdx220R
https://www.dirtrider.com/sites/dirtrider.com/files/styles/1000_1x_/public/buyers_guide/2004/2004_BMW_R1150GS_Adventure.jpg?itok=bPnvT8sD,15420,1130,35,605,,Electric,Adventure,OHV,20041150,BMW,R 1150 Gs Adventure
